gp_idx,reward_type,final_position,total_time,points,changed_compound
0,mix,2,5817.749953258269,18,True
0,mix,7,5713.722760405234,6,True
0,mix,3,5789.085793627673,15,True
0,mix,14,5901.49077935408,0,True
0,mix,2,5575.925406843729,18,True
0,mix,11,5720.714919520173,0,True
0,mix,3,5665.13321388104,15,True
0,mix,5,5666.83258399975,10,True
0,mix,3,5632.101130178861,15,True
0,mix,11,5695.29862480196,0,True
0,mix,1,5645.620346350107,25,True
0,mix,9,5724.981678035842,2,True
0,mix,4,5735.175439462987,12,True
0,mix,10,5685.556935577945,1,True
0,mix,9,5687.4179854453805,2,True
0,mix,9,5922.701176538364,2,True
0,mix,5,5654.594633222467,10,True
0,mix,8,5954.355110133736,4,True
0,mix,3,5841.569899296122,15,True
0,mix,12,5851.190943532934,0,True
0,mix,8,5673.416664760892,4,True
0,mix,2,5599.264838847377,18,True
0,mix,8,5867.649323178544,4,True
0,mix,4,5736.928524873342,12,True
0,mix,16,5844.283947909906,0,True
0,mix,4,5858.309881668117,12,True
0,mix,6,5775.535241810922,8,True
0,mix,11,5899.724683946245,0,True
0,mix,4,5782.687067851036,12,True
0,mix,10,5692.154515529804,1,True
0,mix,4,5741.865098046785,12,True
0,mix,9,5746.815990195552,2,True
0,mix,4,5714.553484428007,12,True
0,mix,6,5852.562299043005,8,True
0,mix,4,5741.799055806559,12,True
0,mix,6,5665.307414915833,8,True
0,mix,5,5772.643489461443,10,True
0,mix,11,5744.004136081455,0,True
0,mix,14,5743.715998082587,0,True
0,mix,7,5693.158970062514,6,True
0,mix,9,5685.503912708051,2,True
0,mix,4,5675.3423318222685,12,True
0,mix,4,5771.828360639895,12,True
0,mix,18,5949.111613668768,0,True
0,mix,3,5654.622867681776,15,True
0,mix,10,5703.092930666857,1,True
0,mix,8,5690.159498833381,4,True
0,mix,6,5649.913270012541,8,True
0,mix,9,5701.997687773836,2,True
0,mix,8,5758.8444192522475,4,True
0,mix,9,5719.1779277375335,2,True
0,mix,1,5625.048425393531,25,True
0,mix,8,5776.349896665323,4,True
0,mix,8,5716.87270449487,4,True
0,mix,10,5759.334588318869,1,True
0,mix,5,5668.690687410097,10,True
0,mix,4,5646.627185233486,12,True
0,mix,3,5642.901484666237,15,True
0,mix,10,5732.031215352629,1,True
0,mix,5,5664.944434274244,10,True
0,mix,9,5904.974542539146,2,True
0,mix,9,5708.599695171545,2,True
0,mix,1,5644.617308121947,25,True
0,mix,5,5652.333335029095,10,True
0,mix,6,5685.812983715551,8,True
0,mix,5,5655.063306274788,10,True
0,mix,1,5696.905612786851,25,True
0,mix,3,5651.829984857446,15,True
0,mix,5,5650.3878939780525,10,True
0,mix,5,5703.709108172846,10,True
0,mix,6,5651.129318951123,8,True
0,mix,3,5622.95064875205,15,True
0,mix,10,5720.420057199587,1,True
0,mix,6,5704.80126145943,8,True
0,mix,12,5724.166979928744,0,True
0,mix,9,5900.455910108378,2,True
0,mix,5,5658.443967396359,10,True
0,mix,12,5735.561756235141,0,True
0,mix,11,5806.808466094735,0,True
0,mix,3,5651.867866331354,15,True
0,mix,8,5699.869195489836,4,True
0,mix,4,5673.487115270488,12,True
0,mix,8,5829.205080717199,4,True
0,mix,11,5693.604242377659,0,True
0,mix,1,5664.859961283635,25,True
0,mix,10,5872.016807332433,1,True
0,mix,5,5627.6624286769775,10,True
0,mix,7,5705.944911556003,6,True
0,mix,2,5817.666070964678,18,True
0,mix,10,5800.03670518257,1,True
0,mix,11,5726.028150309283,0,True
0,mix,13,5759.104625218784,0,True
0,mix,2,5622.352482292894,18,True
0,mix,6,5706.3958318460345,8,True
0,mix,3,5654.204741905579,15,True
